INFO 2024-03-19 15:54:20,578 basehttp 11588 9140 "GET /static/salao/css/financeiro/financeiro.css HTTP/1.1" 200 2361
INFO 2024-03-19 15:54:20,578 basehttp 11588 9028 "GET /static/salao/js/financeiro/financeiro.js HTTP/1.1" 200 0
INFO 2024-03-19 15:54:21,573 basehttp 11588 9140 "GET /salao/clientes/ HTTP/1.1" 200 4895
INFO 2024-03-19 15:54:21,618 basehttp 11588 9140 "GET /static/salao/css/clientes/clientes.css HTTP/1.1" 304 0
WARNING 2024-03-19 15:54:21,633 basehttp 11588 9028 "GET /static/salao/js/clientes/clientes.js HTTP/1.1" 404 1846
INFO 2024-03-19 15:54:23,448 basehttp 11588 9140 "GET /salao/clientes/edita_cliente/1/ HTTP/1.1" 200 6004
INFO 2024-03-19 15:54:23,509 basehttp 11588 9140 "GET /static/salao/css/clientes/editar_cliente.css HTTP/1.1" 304 0
INFO 2024-03-19 15:54:26,715 basehttp 11588 9140 "GET /salao/funcionarios/ HTTP/1.1" 200 5012
INFO 2024-03-19 15:54:28,222 basehttp 11588 9140 "GET /salao/funcionarios/edita_funcionario/1/ HTTP/1.1" 200 10824
INFO 2024-03-19 15:54:35,995 basehttp 11588 9140 "GET /salao/agenda/deleta_agendamento/4/ HTTP/1.1" 302 0
INFO 2024-03-19 15:54:36,392 basehttp 11588 9140 "GET /salao/agenda/ HTTP/1.1" 200 16966
INFO 2024-03-19 15:55:07,157 basehttp 11588 9140 "GET /salao/agenda/ HTTP/1.1" 200 16966
INFO 2024-03-19 15:55:10,079 basehttp 11588 9140 "GET /salao/agenda/ HTTP/1.1" 200 16966
INFO 2024-03-19 15:55:19,575 autoreload 11588 8632 C:\Users\Joao\Desktop\CyberSolutions\salao\views\agendamento.py changed, reloading.
INFO 2024-03-19 15:55:20,446 autoreload 10660 9056 Watching for file changes with StatReloader
INFO 2024-03-19 15:55:22,447 autoreload 10660 9056 C:\Users\Joao\Desktop\CyberSolutions\salao\views\agendamento.py changed, reloading.
INFO 2024-03-19 15:55:23,381 autoreload 9992 9984 Watching for file changes with StatReloader
INFO 2024-03-19 15:55:29,824 autoreload 9992 9984 C:\Users\Joao\Desktop\CyberSolutions\salao\views\funcionarios.py changed, reloading.
INFO 2024-03-19 15:55:30,656 autoreload 10972 9860 Watching for file changes with StatReloader
INFO 2024-03-19 15:55:33,781 autoreload 10972 9860 C:\Users\Joao\Desktop\CyberSolutions\salao\views\funcionarios.py changed, reloading.
INFO 2024-03-19 15:55:34,700 autoreload 1096 11944 Watching for file changes with StatReloader
INFO 2024-03-19 15:57:32,272 autoreload 1096 11944 C:\Users\Joao\Desktop\CyberSolutions\salao\views\funcionarios.py changed, reloading.
